Symbol,Close Price,Band,Margin,Tradable
METROBRAND,1293.6,20,5,Yes
MEDPLUS,839.5,20,5,Yes
INTELLECT,1039.15,20,5,Yes
DATAPATTNS,2762.1,20,5,Yes
SUPRIYA,650,20,5,Yes
CMSINFO,418.3,20,5,Yes
MINDACORP,518,20,5,Yes
GREENLAM,251.68,20,5,Yes
PTCIL,14611,20,5,Yes
INOXWIND,151.3,No Band,5,Yes
PNCINFRA,304.6,20,5,Yes
AIIL,3284.6,20,5,Yes
ADANIENSOL,836.55,No Band,5,Yes
SYNGENE,657.25,No Band,5,Yes
POWERMECH,3025.8,20,5,Yes
GUJGASLTD,442.85,20,5,Yes
IDFCFIRSTB,71.55,No Band,5,Yes
INDIGO,5727.5,No Band,5,Yes
ALKEM,5503,No Band,5,Yes
LALPATHLAB,3270.3,20,5,Yes
NH,1785.5,20,5,Yes
HCG,675.7,20,5,Yes
INFIBEAM,16.16,20,5,Yes
THYROCARE,1192.1,20,5,Yes
CROMPTON,313.95,No Band,5,Yes
PILANIINVS,5267.1,20,5,Yes
MGL,1363.2,20,5,Yes
LLOYDSENGG,64.85,20,5,Yes
LTIM,5375.5,No Band,5,Yes
DBL,567.1,20,5,Yes
RBLBANK,267.3,No Band,5,Yes
BLS,366,20,5,Yes
LTTS,4261.7,20,5,Yes
ICICIPRULI,603.7,No Band,5,Yes
ENDURANCE,2922.2,20,5,Yes
PNBHOUSING,830.95,No Band,5,Yes
VBL,462.9,No Band,5,Yes
LLOYDSENT,70.2,20,5,Yes
HYUNDAI,2603.1,10,5,Yes
WAAREEENER,3579,20,5,Yes
AFCONS,455.05,20,5,Yes
SAGILITY,44.73,20,5,Yes
SWIGGY,437.2,20,5,Yes
ACMESOLAR,311,10,5,Yes
NIVABUPA,81.84,20,5,Yes
BLACKBUCK,607.25,20,5,Yes
NTPCGREEN,105.35,20,5,Yes
SAILIFE,881.35,20,5,Yes
VMM,150.31,20,5,Yes
IKS,1557.7,20,5,Yes
IGIL,373,10,5,Yes
TRANSRAILL,784.95,20,5,Yes
VENTIVE,773.35,10,5,Yes
UNIMECH,1102.4,5,5,No
ONESOURCE,1840.7,20,5,Yes
ITCHOTELS,245.09,20,5,Yes
AGARWALEYE,439.35,20,5,Yes
AJAXENGG,650.45,10,5,Yes
WAAREERTL,1093,20,5,Yes
ATHERENERG,556.3,20,5,Yes
BELRISE,144.93,20,5,Yes
AEGISVOPAK,248.96,10,5,Yes
THELEELA,413,10,5,Yes
